word,IPA
ජීවිකා,ʤ iː ʋ i k
ජීවිතය,ʤ iː ʋ i t̪ ʌ j ə
ජීවිතාරක්ෂාව,ʤ iː ʋ i t̪ aː r ʌ k ʂ aː ʋ ə
ජීවියා,ʤ iː ʋ i j
ජීවි,ʤ iː ʋ i
ජීව,ʤ iː ʋ ə
ජීහ්වා,ʤ iː h ʋ a
ජුංකරුව,ʤ u k ʌ r u ʋ ə
ජුගුප්සක,ʤ u ɡ u p s ʌ k ə
ජුගුප්සාජනක,ʤ u ɡ u p s aː ʤ ʌ n̪ ʌ k ə
ජුගුප්සාව,ʤ u ɡ u p s aː ʋ ə
ජුජුබ්ස්,ʤ u ʤ u b s
ජුන්ටාව,ʤ u n̪ ʈ aː ʋ ə
ජූජාවිධිමයි,ʤ uː ʤ aː ʋ i d̪ʱ i m ʌ j i
ජූරිය,ʤ uː r i j ə
ජූරිසභාව,ʤ uː r i s ʌ bʱ aː ʋ ə
ජූලය,ʤ uː l ʌ j ə
ජූල,ʤ uː l ə
ජෙනිය,ʤ e n̪ i j ə
ජෙමිය,ʤ e m i j ə
ජෙර්බෝවා,ʤ e r b oː ʋ a
ජෙලටින්,ʤ e l ʌ ʈ i n̪
ජෙලය,ʤ e l ʌ j ə
ජෙල්ලේපය,ʤ e l l eː p ʌ j ə
ජෙල්,ʤ e l
ජෙලි,ʤ e l i
ජේඩ්,ʤ eː ɖ
ජේත්තුකාරකම,ʤ eː t̪ t̪ u k aː r ʌ k ʌ m ə
ජේත්තුකාරයා,ʤ eː t̪ t̪ u k aː r ʌ j
ජේත්තුකාර,ʤ eː t̪ t̪ u k aː r ə
ජේත්තුව,ʤ eː t̪ t̪ u ʋ ə
ජේත්තු,ʤ eː t̪ t̪ u
ජේලර්,ʤ eː l ʌ r
ජෛවත්‍රපටය,ʤ ʌ ෛ ʋ ʌ t̪ ‍ r ʌ p ʌ ʈ ʌ j ə
ජෛවදර්ශය,ʤ ʌ ෛ ʋ ʌ d̪ ʌ r ʃ ʌ j ə
ජෛවමිතඥයා,ʤ ʌ ෛ ʋ ʌ m i t̪ ʌ ɡn ʌ j
ජෛවය,ʤ ʌ ෛ ʋ ʌ j ə
ජෛවරසායනඥයා,ʤ ʌ ෛ ʋ ʌ r ʌ s aː j ʌ n̪ ʌ ɡn ʌ j
ජෛවරසායනික,ʤ ʌ ෛ ʋ ʌ r ʌ s aː j ʌ n̪ i k ə
ජෛවස්ථානය,ʤ ʌ ෛ ʋ ʌ s t̪ʰ aː n̪ ʌ j ə
ජෛවාණුව,ʤ ʌ ෛ ʋ a ɳ u ʋ ə
ජෛවාර්ඝණය,ʤ ʌ ෛ ʋ a r ɡʱ ʌ ɳ ʌ j ə
ජෛවාස්‍රතික,ʤ ʌ ෛ ʋ a s ‍ r ʌ t̪ i k ə
ජෛවේක්ෂාව,ʤ ʌ ෛ ʋ eː k ʂ aː ʋ ə
ජෛව,ʤ ʌ ෛ ʋ ə
ජොකිය,ʤ o k i j ə
ජෝගුව,ʤ oː ɡ u ʋ ə
ජෝඩුකරන්නා,ʤ oː ɖ u k ʌ r ʌ n̪ n̪
ජෝඩුව,ʤ oː ɖ u ʋ ə
ජෝඩු,ʤ oː ɖ u
ජෝතිමත්,ʤ oː t̪ i m ʌ t̪
ඥාණවන්තකම,ɡn aː ɳ ʌ ʋ ʌ n̪ t̪ ʌ k ʌ m ə
ඥාතිත්වය,ɡn aː t̪ i t̪ ʋ ʌ j ə
ඥාතියා,ɡn aː t̪ i j
ඥාති,ɡn aː t̪ i
ඥානනීය,ɡn aː n̪ ʌ n̪ iː j ə
ඥානය,ɡn aː n̪ ʌ j ə
ඥානවන්තකම,ɡn aː n̪ ʌ ʋ ʌ n̪ t̪ ʌ k ʌ m ə
ඥානවන්තයා,ɡn aː n̪ ʌ ʋ ʌ n̪ t̪ ʌ j
ඥානවන්ත,ɡn aː n̪ ʌ ʋ ʌ n̪ t̪ ə
ඥානවාදය,ɡn aː n̪ ə ʋ a d̪ ʌ j ə
ඥානාත්මක,ɡn aː n̪ aː t̪ m ʌ k ə
ඥානාන්විතභාවය,ɡn aː n̪ aː n̪ ʋ i t̪ ʌ bʱ aː ʋ ʌ j ə
ඥානාන්විත,ɡn aː n̪ aː n̪ ʋ i t̪ ə
ටංස්ටන්,ʈ ʌ s ʈ ʌ n̪
ටංස්ටේට්,ʈ ʌ s ʈ eː ʈ
ටකය,ʈ ʌ k ʌ j ə
ටබයිම,ʈ ʌ b ʌ j i m ə
ටඹ,ʈ ʌ ඹ
ටයරය,ʈ ʌ j ʌ r ʌ j ə
ටයලින්,ʈ ʌ j ʌ l i n̪
ටයිගාව,ʈ ʌ j i ɡ aː ʋ ə
ටයිටේනියම්,ʈ ʌ j i ʈ eː n̪ i j ʌ m
ටයිනය,ʈ ʌ j i n̪ ʌ j ə
ටයිපුන්,ʈ ʌ j i p u n̪
ටර්පන්ටයින්,ʈ ʌ r p ʌ n̪ ʈ ʌ j i n̪
ටර්පන්ටැයින්,ʈ ʌ r p ʌ n̪ ʈ æ j i n̪
ටර්මිනලය,ʈ ʌ r m i n̪ ʌ l ʌ j ə
ට්වීඩ්,ʈ ʋ iː ɖ
ට්‍රක්කය,ʈ ‍ r ʌ k k ʌ j ə
ට්‍රම්පටය,ʈ ‍ r ʌ m p ʌ ʈ ʌ j ə
ට්‍රයිටීයම්,ʈ ‍ r ʌ j i ʈ iː j ʌ m
ට්‍රයිටෝනය,ʈ ‍ r ʌ j i ʈ oː n̪ ʌ j ə
ට්‍රයොක්සයිඩ්,ʈ ‍ r ʌ j o k s ʌ j i ɖ
ට්‍රයෝඩය,ʈ ‍ r ʌ j oː ɖ ʌ j ə
ට්‍රාන්ස්ෆෝමරය,ʈ ‍ r aː n̪ s f oː m ʌ r ʌ j ə
ට්‍රාන්සිස්ටරය,ʈ ‍ r aː n̪ s i s ʈ ʌ r ʌ j ə
ට්‍රැක්ටරය,ʈ ‍ r æ k ʈ ʌ r ʌ j ə
ට්‍රැපීසය,ʈ ‍ r æ p iː s ʌ j ə
ට්‍රැවටින්,ʈ ‍ r æ ʋ ʌ ʈ i n̪
ට්‍රිපයිනය,ʈ ‍ r i p ʌ j i n̪ ʌ j ə
ට්‍රිප්සින්,ʈ ‍ r i p s i n̪
ට්‍රිමැටෝඩය,ʈ ‍ r i m æ ʈ oː ɖ ʌ j ə
ට්‍රිලියනය,ʈ ‍ r i l i j ʌ n̪ ʌ j ə
ට්‍රේලරය,ʈ ‍ r eː l ʌ r ʌ j ə
ට්‍රොලිය,ʈ ‍ r o l i j ə
ට්‍රෝලනය,ʈ ‍ r oː l ʌ n̪ ʌ j ə
ටාපෝලිනය,ʈ aː p oː l i n̪ ʌ j ə
ටාමැකඩම්,ʈ aː m æ k ʌ ɖ ʌ m
ටාමිගන්,ʈ aː m i ɡ ʌ n̪
ටාසවාදය,ʈ aː s ʌ ʋ a d̪ ʌ j ə
ටැංකිය,ʈ æ k i j ə
ටැකිමීටරය,ʈ æ k i m iː ʈ ʌ r ʌ j ə
ටැකොමීටරය,ʈ æ k o m iː ʈ ʌ r ʌ j ə
ටැන්ගෝ,ʈ æ n̪ ɡ oː
ටැන්ජනය,ʈ æ n̪ ʤ ʌ n̪ ʌ j ə
ටැන්ටලම්,ʈ æ n̪ ʈ ʌ l ʌ m
ටැන්ටලයිට්,ʈ æ n̪ ʈ ʌ l ʌ j i ʈ
ටැනින්,ʈ æ n̪ i n̪
ටැපට්ටුව,ʈ æ p ʌ ʈ ʈ u ʋ ə
ටැපැස්ට්‍රිය,ʈ æ p æ s ʈ ‍ r i j ə
ටැම්බුරීනය,ʈ æ m b u r iː n̪ ʌ j ə
ටැඹ,ʈ æ ඹ
ටැල්ක්,ʈ æ l k
ටැසලය,ʈ æ s ʌ l ʌ j ə
ටිකක්,ʈ i k ʌ k
ටිකට්,ʈ i k ʌ ʈ
ටික්කා,ʈ i k k
ටිකිය,ʈ i k i j ə
ටිකිරිත්තා,ʈ i k i r i t̪ t̪
ටිකිරි,ʈ i k i r i
ටික,ʈ i k ə
ටින්ක්චරය,ʈ i n̪ k ʧ ʌ r ʌ j ə
ටින්පත්,ʈ i n̪ p ʌ t̪
ටින්,ʈ i n̪
ටිපරය,ʈ i p ʌ r ʌ j ə
ටිප්පණිය,ʈ i p p ʌ ɳ i j ə
ටිප්පනිය,ʈ i p p ʌ n̪ i j ə
ටියුබකුලෝසියාව,ʈ i j u b ʌ k u l oː s i j aː ʋ ə
ටියුබය,ʈ i j u b ʌ j ə
ටීකාකාරයා,ʈ iː k aː k aː r ʌ j
ටීකාව,ʈ iː k aː ʋ ə
ටෙක්නීෂියම්,ʈ e k n̪ iː ʂ i j ʌ m
ටෙට්‍රක්ලෝරයිඩ්,ʈ e ʈ ‍ r ʌ k l oː r ʌ j i ɖ
ටෙනර්,ʈ e n̪ ʌ r
ටෙන්ඩරය,ʈ e n̪ ɖ ʌ r ʌ j ə
ටෙරමයිසින්,ʈ e r ʌ m ʌ j i s i n̪
ටෙරසය,ʈ e r ʌ s ʌ j ə
ටෙරොඩැක්ටිල්,ʈ e r o ɖ æ k ʈ i l
ටෙලිකාන්ත,ʈ e l i k aː n̪ t̪ ə
ටෙලිටයිප්,ʈ e l i ʈ ʌ j i p
ටෙලිටෙක්ස්ට්,ʈ e l i ʈ e k s ʈ
ටෙලිප්‍රොම්ප්ටරය,ʈ e l i p ‍ r o m p ʈ ʌ r ʌ j ə
ටෙලියුරයිඩ්,ʈ e l i j u r ʌ j i ɖ
ටෙලියුරියම්,ʈ e l i j u r i j ʌ m
ටෙලිය,ʈ e l i j ə
ටෙලිවිෂනය,ʈ e l i ʋ i ʂ ʌ n̪ ʌ j ə
ටෙස්ටොස්ටෙරෝන්,ʈ e s ʈ o s ʈ e r oː n̪
ටේපය,ʈ eː p ʌ j ə
ටොක්ක,ʈ o k k ə
ටොපිය,ʈ o p i j ə
ටොමිය,ʈ o m i j ə
ටොලුයීන්,ʈ o l u j iː n̪
ටෝකනය,ʈ oː k ʌ n̪ ʌ j ə
ටෝනාඩෝ,ʈ oː n̪ aː ɖ oː
ටෝමේන්,ʈ oː m eː n̪
ටෝස්ටරය,ʈ oː s ʈ ʌ r ʌ j ə
ට,ʈ ə
ඨානාන්තරය,ʈʰ aː n̪ aː n̪ t̪ ʌ r ʌ j ə
ඩංඩුං,ɖ ʌ ɖ u
ඩක්කි,ɖ ʌ k k i
ඩක්කුව,ɖ ʌ k k u ʋ ə
ඩබරය,ɖ ʌ b ʌ r ʌ j ə
ඩමරුව,ɖ ʌ m ʌ r u ʋ ə
ඩම්පරය,ɖ ʌ m p ʌ r ʌ j ə
ඩමිය,ɖ ʌ m i j ə
ඩයටමාකාර,ɖ ʌ j ʌ ʈ ʌ m aː k aː r ə
ඩයටම,ɖ ʌ j ʌ ʈ ʌ m ə
ඩයබේස්,ɖ ʌ j ʌ b eː s
ඩයලය,ɖ ʌ j ʌ l ʌ j ə
ඩයස්ටේස්,ɖ ʌ j ʌ s ʈ eː s
ඩයෆ්‍රමය,ɖ ʌ j ʌ f ‍ r ʌ m ʌ j ə
ඩයැසොටීකරණය,ɖ ʌ j æ s o ʈ iː k ʌ r ʌ ɳ ʌ j ə
ඩයිකය,ɖ ʌ j i k ʌ j ə
ඩයික්ලෝරයිඩ්,ɖ ʌ j i k l oː r ʌ j i ɖ
ඩයික්‍රොස්කෝපය,ɖ ʌ j i k ‍ r o s k oː p ʌ j ə
ඩයික්‍රෝමේට්,ɖ ʌ j i k ‍ r oː m eː ʈ
ඩයිනට්‍රෝනය,ɖ ʌ j i n̪ ʌ ʈ ‍ r oː n̪ ʌ j ə
ඩයිනමයිට්,ɖ ʌ j i n̪ ʌ m ʌ j i ʈ
ඩයිනමෝටරය,ɖ ʌ j i n̪ ʌ m oː ʈ ʌ r ʌ j ə
ඩයිනය,ɖ ʌ j i n̪ ʌ j ə
ඩයිනෝඩය,ɖ ʌ j i n̪ oː ɖ ʌ j ə
ඩයිසැකරයිඩ්,ɖ ʌ j i s æ k ʌ r ʌ j i ɖ
ඩයොක්සයිඩ්,ɖ ʌ j o k s ʌ j i ɖ
ඩයොක්සීන්,ɖ ʌ j o k s iː n̪
ඩයොප්ටරය,ɖ ʌ j o p ʈ ʌ r ʌ j ə
ඩයොරාමා,ɖ ʌ j o r aː m
ඩයෝඩය,ɖ ʌ j oː ɖ ʌ j ə
ඩයෝප්ටරය,ɖ ʌ j oː p ʈ ʌ r ʌ j ə
ඩයෝරයිටය,ɖ ʌ j oː r ʌ j i ʈ ʌ j ə
ඩ්‍රම්ලිනය,ɖ ‍ r ʌ m l i n̪ ʌ j ə
ඩ්‍රෑම,ɖ ‍ r æː m ə
ඩැමා,ɖ æ m
ඩැහැගන්නවා,ɖ æ h æ ɡ ʌ n̪ n̪ ə ʋ a
ඩැහිය,ɖ æ h i j ə
ඩිංගිත්ත,ɖ i ɡ i t̪ t̪ ə
ඩිංග,ɖ i ɡ ə
ඩිංඩිමය,ɖ i ɖ i m ʌ j ə
ඩිකෝඩරය,ɖ i k oː ɖ ʌ r ʌ j ə
ඩිප්ලොමාව,ɖ i p l o m aː ʋ ə
ඩිපෝව,ɖ i p oː ʋ ə
ඩිබෙන්චරය,ɖ i b e n̪ ʧ ʌ r ʌ j ə
ඩිමරය,ɖ i m ʌ r ʌ j ə
ඩිම්බකෝෂය,ɖ i m b ʌ k oː ʂ ʌ j ə
ඩිම්බධර,ɖ i m b ʌ d̪ʱ ʌ r ə
ඩිම්බනීහරණය,ɖ i m b ʌ n̪ iː h ʌ r ʌ ɳ ʌ j ə
ඩිම්බබන්ධය,ɖ i m b ʌ b ʌ n̪ d̪ʱ ʌ j ə
ඩිම්බය,ɖ i m b ʌ j ə
ඩිම්බාධාරය,ɖ i m b aː d̪ʱ aː r ʌ j ə
ඩිම්බ,ɖ i m b ə
ඩියරැලුමින්,ɖ i j ʌ r æ l u m i n̪
ඩියුටරොන්,ɖ i j u ʈ ʌ r o n̪
ඩියුටීරියම්,ɖ i j u ʈ iː r i j ʌ m
ඩියුරැලුමින්,ɖ i j u r æ l u m i n̪
ඩියූරැලුමින්,ɖ i j uː r æ l u m i n̪
ඩිස්කටය,ɖ i s k ʌ ʈ ʌ j ə
ඩිස්කය,ɖ i s k ʌ j ə
ඩිස්ට්‍රිබියුටරය,ɖ i s ʈ ‍ r i b i j u ʈ ʌ r ʌ j ə
ඩිස්ට්‍රෝයරය,ɖ i s ʈ ‍ r oː j ʌ r ʌ j ə
ඩිස්ප්‍රෝසියම්,ɖ i s p ‍ r oː s i j ʌ m
ඩිස්පැන්සරිය,ɖ i s p æ n̪ s ʌ r i j ə
ඩෙක්ස්ට්‍රින්,ɖ e k s ʈ ‍ r i n̪
ඩෙක්ස්ට්‍රෝස්,ɖ e k s ʈ ‍ r oː s
ඩෙකැල්,ɖ e k æ l
ඩෙන්සිටොමීටරය,ɖ e n̪ s i ʈ o m iː ʈ ʌ r ʌ j ə
ඩෙරිකීම,ɖ e r i k iː m ə
ඩෙල්ටාපත්ර්රීය,ɖ e l ʈ aː p ʌ t̪ r r iː j ə
ඩෙල්ටාව,ɖ e l ʈ aː ʋ ə
ඩෙස්කුව,ɖ e s k u ʋ ə
ඩෙස්මිය,ɖ e s m i j ə
ඩෙසිකේටරය,ɖ e s i k eː ʈ ʌ r ʌ j ə
ඩෙසිබලය,ɖ e s i b ʌ l ʌ j ə
ඩෙසිබල්,ɖ e s i b ʌ l
ඩෙසිබල,ɖ e s i b ʌ l ə
ඩෙසිබෙල,ɖ e s i b e l ə
ඩෙසිමීටරය,ɖ e s i m iː ʈ ʌ r ʌ j ə
ඩොංගාව,ɖ o ɡ aː ʋ ə
ඩොබිය,ɖ o b i j ə
ඩොලමයිට්,ɖ o l ʌ m ʌ j i ʈ
ඩොලරයිට්,ɖ o l ʌ r ʌ j i ʈ
ඩොලරය,ɖ o l ʌ r ʌ j ə
ඩොල්පින්,ɖ o l p i n̪
ඩෝසරය,ɖ oː s ʌ r ʌ j ə
ණයකරය,ɳ ʌ j ʌ k ʌ r ʌ j ə
ණයකරු,ɳ ʌ j ʌ k ʌ r u
ණයක්,ɳ ʌ j ʌ k
ණයගැතියා,ɳ ʌ j ʌ ɡ æ t̪ i j
ණයගැති,ɳ ʌ j ʌ ɡ æ t̪ i
ණයවරය,ɳ ʌ j ʌ ʋ ʌ r ʌ j ə
ණයවර,ɳ ʌ j ʌ ʋ ʌ r ə
ණය,ɳ ʌ j ə
තකතිරුවා,t̪ ʌ k ʌ t̪ i r u ʋ a
තකතිරු,t̪ ʌ k ʌ t̪ i r u
තකතීරු,t̪ ʌ k ʌ t̪ iː r u
තකනවා,t̪ ʌ k ʌ n̪ ə ʋ a
තකහනියේ,t̪ ʌ k ʌ h ʌ n̪ i j eː
තක්කඩිකම,t̪ ʌ k k ʌ ɖ i k ʌ m ə
තක්කඩියා,t̪ ʌ k k ʌ ɖ i j
තක්කඩි,t̪ ʌ k k ʌ ɖ i
තක්කාලි,t̪ ʌ k k aː l i
තක්ෂණය,t̪ ʌ k ʂ ʌ ɳ ʌ j ə
තක්ෂණ,t̪ ʌ k ʂ ʌ ɳ ə
තක්සේරුකරු,t̪ ʌ k s eː r u k ʌ r u
තක්සේරුව,t̪ ʌ k s eː r u ʋ ə
තකා,t̪ ʌ k
තටකය,t̪ ʌ ʈ ʌ k ʌ j ə
තටක,t̪ ʌ ʈ ʌ k ə
තටමනවා,t̪ ʌ ʈ ʌ m ʌ n̪ ə ʋ a
තට්ටම්,t̪ ʌ ʈ ʈ ʌ m
තට්ටම,t̪ ʌ ʈ ʈ ʌ m ə
තට්ටයෙන්,t̪ ʌ ʈ ʈ ʌ j e n̪
තට්ටය,t̪ ʌ ʈ ʈ ʌ j ə
තට්ටුව,t̪ ʌ ʈ ʈ u ʋ ə
තට්ටු,t̪ ʌ ʈ ʈ u
තට්ට,t̪ ʌ ʈ ʈ ə
තටාකය,t̪ ʌ ʈ aː k ʌ j ə
තටාකාංගනය,t̪ ʌ ʈ aː k aː ɡ ʌ n̪ ʌ j ə
තටුව,t̪ ʌ ʈ u ʋ ə
තටු,t̪ ʌ ʈ u
තඩිබානවා,t̪ ʌ ɖ i b aː n̪ ə ʋ a
තඩිබෑම,t̪ ʌ ɖ i b æː m ə
තඩියා,t̪ ʌ ɖ i j
තඩිස්සිය,t̪ ʌ ɖ i s s i j ə
තඩි,t̪ ʌ ɖ i
තණකොළ,t̪ ʌ ɳ ʌ k o ɭ ə
තණගිරවා,t̪ ʌ ɳ ʌ ɡ i r ʌ ʋ a
තණබිඩැල්ල,t̪ ʌ ɳ ʌ b i ɖ æ l l ə
තණබිම,t̪ ʌ ɳ ʌ b i m ə
තණහාල්,t̪ ʌ ɳ ʌ h aː l
තණ්හාව,t̪ ʌ ɳ h aː ʋ ə
තණ,t̪ ʌ ɳ ə
තතනනවා,t̪ ʌ t̪ ʌ n̪ ʌ n̪ ə ʋ a
තතන්නා,t̪ ʌ t̪ ʌ n̪ n̪
තත්කාලය,t̪ ʌ t̪ k aː l ʌ j ə
තත්ත්වය,t̪ ʌ t̪ t̪ ʋ ʌ j ə
තත්ත්වවිචාරය,t̪ ʌ t̪ t̪ ʋ ʌ ʋ i ʧ aː r ʌ j ə
තත්ත්වාකාරයෙන්,t̪ ʌ t̪ t̪ ʋ a k aː r ʌ j e n̪
තත්ත්වාකාරය,t̪ ʌ t̪ t̪ ʋ a k aː r ʌ j ə
තත්ත්වාන්තරණය,t̪ ʌ t̪ t̪ ʋ a n̪ t̪ ʌ r ʌ ɳ ʌ j ə
තත්ත්වාන්තරය,t̪ ʌ t̪ t̪ ʋ a n̪ t̪ ʌ r ʌ j ə
තත්ත්වාරෝපණය,t̪ ʌ t̪ t̪ ʋ a r oː p ʌ ɳ ʌ j ə
තත්ත්වාරෝපිත,t̪ ʌ t̪ t̪ ʋ a r oː p i t̪ ə
තත්ථ්‍ය,t̪ ʌ t̪ t̪ʰ ‍ j ə
තත්පරය,t̪ ʌ t̪ p ʌ r ʌ j ə
තත්පර,t̪ ʌ t̪ p ʌ r ə
තත්ලනවා,t̪ ʌ t̪ l ʌ n̪ ə ʋ a
තත්වය,t̪ ʌ t̪ ʋ ʌ j ə
තත්වාකාරයෙන්,t̪ ʌ t̪ ʋ a k aː r ʌ j e n̪
තත්වාරෝපකය,t̪ ʌ t̪ ʋ a r oː p ʌ k ʌ j ə
තත්සාම්‍යය,t̪ ʌ t̪ s aː m ‍ j ʌ j ə
තත්,t̪ ʌ t̪
තතිලකය,t̪ ʌ t̪ i l ʌ k ʌ j ə
තතු,t̪ ʌ t̪ u
තත,t̪ ʌ t̪ ə
තථ්‍යතාව,t̪ ʌ t̪ʰ ‍ j ʌ t̪ aː ʋ ə
තථ්‍ය,t̪ ʌ t̪ʰ ‍ j ə
තදකම,t̪ ʌ d̪ ʌ k ʌ m ə
තදකරනවා,t̪ ʌ d̪ ʌ k ʌ r ʌ n̪ ə ʋ a
තදට,t̪ ʌ d̪ ʌ ʈ ə
තදනන්තර,t̪ ʌ d̪ ʌ n̪ ʌ n̪ t̪ ʌ r ə
තදනුභුතිය,t̪ ʌ d̪ ʌ n̪ u bʱ u t̪ i j ə
තදනුභූතිය,t̪ ʌ d̪ ʌ n̪ u bʱ uː t̪ i j ə
තදබදය,t̪ ʌ d̪ ʌ b ʌ d̪ ʌ j ə
තදබද,t̪ ʌ d̪ ʌ b ʌ d̪ ə
තදබල,t̪ ʌ d̪ ʌ b ʌ l ə
තදබව,t̪ ʌ d̪ ʌ b ʌ ʋ ə
තදය,t̪ ʌ d̪ ʌ j ə
තදවීම,t̪ ʌ d̪ ʌ ʋ iː m ə
තද්භවය,t̪ ʌ d̪ bʱ ʌ ʋ ʌ j ə
තද්භව,t̪ ʌ d̪ bʱ ʌ ʋ ə
තද්වේදනය,t̪ ʌ d̪ ʋ eː d̪ ʌ n̪ ʌ j ə
තදාත්ම්‍ය,t̪ ʌ d̪ aː t̪ m ‍ j ə
තදාත්මීකරණය,t̪ ʌ d̪ aː t̪ m iː k ʌ r ʌ ɳ ʌ j ə
තදාශ්‍රිත,t̪ ʌ d̪ aː ʃ ‍ r i t̪ ə
තදාසන්න,t̪ ʌ d̪ aː s ʌ n̪ n̪ ə
තදින්,t̪ ʌ d̪ i n̪
තදියම,t̪ ʌ d̪ i j ʌ m ə
තදීය,t̪ ʌ d̪ iː j ə
තදේවභාවී,t̪ ʌ d̪ eː ʋ ʌ bʱ aː ʋ iː
තද,t̪ ʌ d̪ ə
තනතුර,t̪ ʌ n̪ ʌ t̪ u r ə
තනනවා,t̪ ʌ n̪ ʌ n̪ ə ʋ a
තනනවි,t̪ ʌ n̪ ʌ n̪ ʌ ʋ i
තනන්නා,t̪ ʌ n̪ ʌ n̪ n̪
තනන,t̪ ʌ n̪ ʌ n̪ ə
තනපට,t̪ ʌ n̪ ʌ p ʌ ʈ ə
තනපුඩුව,t̪ ʌ n̪ ʌ p u ɖ u ʋ ə
තනපුඩු,t̪ ʌ n̪ ʌ p u ɖ u
තන්ත්‍රය,t̪ ʌ n̪ t̪ ‍ r ʌ j ə
තන්තුකය,t̪ ʌ n̪ t̪ u k ʌ j ə
තන්තුකාව,t̪ ʌ n̪ t̪ u k aː ʋ ə
තන්තුමය,t̪ ʌ n̪ t̪ u m ʌ j ə
තන්තුව,t̪ ʌ n̪ t̪ u ʋ ə
තන්තු,t̪ ʌ n̪ t̪ u
තන්මාත්‍රය,t̪ ʌ n̪ m aː t̪ ‍ r ʌ j ə
තන්වීකරණය,t̪ ʌ n̪ ʋ iː k ʌ r ʌ ɳ ʌ j ə
තන්වීකරය,t̪ ʌ n̪ ʋ iː k ʌ r ʌ j ə
තන්‍යතාව,t̪ ʌ n̪ ‍ j ʌ t̪ aː ʋ ə
තන්‍ය,t̪ ʌ n̪ ‍ j ə
තනිකඩයා,t̪ ʌ n̪ i k ʌ ɖ ʌ j
තනිකම,t̪ ʌ n̪ i k ʌ m ə
තනිකර,t̪ ʌ n̪ i k ʌ r ə
තනිපුද්ගලවාදී,t̪ ʌ n̪ i p u d̪ ɡ ʌ l ʌ ʋ a d̪ iː
තනියම,t̪ ʌ n̪ i j ʌ m ə
තනිය,t̪ ʌ n̪ i j ə
තනිවම,t̪ ʌ n̪ i ʋ ʌ m ə
තනිවීම,t̪ ʌ n̪ i ʋ iː m ə
තනිවූ,t̪ ʌ n̪ i ʋ uː
තනිව,t̪ ʌ n̪ i ʋ ə
තනිස්කරණය,t̪ ʌ n̪ i s k ʌ r ʌ ɳ ʌ j ə
තනිහැසැරි,t̪ ʌ n̪ i h æ s æ r i
තනි,t̪ ʌ n̪ i
තනුකතාව,t̪ ʌ n̪ u k ʌ t̪ aː ʋ ə
තනුකරණය,t̪ ʌ n̪ u k ʌ r ʌ ɳ ʌ j ə
තනුව,t̪ ʌ n̪ u ʋ ə
තනූකාරකය,t̪ ʌ n̪ uː k aː r ʌ k ʌ j ə
තපනීය,t̪ ʌ p ʌ n̪ iː j ə
තපස,t̪ ʌ p ʌ s ə
තප්පුලනවා,t̪ ʌ p p u l ʌ n̪ ə ʋ a
තප්පුලන්නා,t̪ ʌ p p u l ʌ n̪ n̪
තප්පුලෑම,t̪ ʌ p p u l æː m ə
තපිනවා,t̪ ʌ p i n̪ ə ʋ a
තබනවා,t̪ ʌ b ʌ n̪ ə ʋ a
තබ්ලාව,t̪ ʌ b l aː ʋ ə
තම්පලා,t̪ ʌ m p ʌ l
තම්බනවා,t̪ ʌ m b ʌ n̪ ə ʋ a
තම්බෝරුව,t̪ ʌ m b oː r u ʋ ə
තමාම,t̪ ʌ m aː m ə
තමා,t̪ ʌ m
තමුන්නාන්සේ,t̪ ʌ m u n̪ n̪ aː n̪ s eː
තමුසෙ,t̪ ʌ m u s e
තම,t̪ ʌ m ə
තඹක්ක,t̪ ʌ ඹ k k ə
තඹකාසිය,t̪ ʌ ඹ k aː s i j ə
තඹමය,t̪ ʌ ඹ m ʌ j ə
තඹය,t̪ ʌ ඹ j ə
තඹරවනය,t̪ ʌ ඹ r ʌ ʋ ʌ n̪ ʌ j ə
තඹලේරුව,t̪ ʌ ඹ l eː r u ʋ ə
තඹවන්,t̪ ʌ ඹ ʋ ʌ n̪
තඹවිටි,t̪ ʌ ඹ ʋ i ʈ i
තඹුරුවනය,t̪ ʌ ඹ u r u ʋ ʌ n̪ ʌ j ə
තඹ,t̪ ʌ ඹ
තයමින්,t̪ ʌ j ʌ m i n̪
තයිමසය,t̪ ʌ j i m ʌ s ʌ j ə
තයිරට්‍රෝනකය,t̪ ʌ j i r ʌ ʈ ‍ r oː n̪ ʌ k ʌ j ə
තයිරට්‍රෝනය,t̪ ʌ j i r ʌ ʈ ‍ r oː n̪ ʌ j ə
තයිරොක්සින්,t̪ ʌ j i r o k s i n̪
තයොයුරසිල්,t̪ ʌ j o j u r ʌ s i l
තයෝසයනේට්,t̪ ʌ j oː s ʌ j ʌ n̪ eː ʈ
තරංගනය,t̪ ʌ r ʌ ɡ ʌ n̪ ʌ j ə
තරංගමය,t̪ ʌ r ʌ ɡ ʌ m ʌ j ə
තරංගය,t̪ ʌ r ʌ ɡ ʌ j ə
තරංගිකාව,t̪ ʌ r ʌ ɡ i k aː ʋ ə
තරකරනවා,t̪ ʌ r ʌ k ʌ r ʌ n̪ ə ʋ a
තරගය,t̪ ʌ r ʌ ɡ ʌ j ə
තරඟකරුවා,t̪ ʌ r ʌ ŋɡ ʌ k ʌ r u ʋ a
තරඟකරු,t̪ ʌ r ʌ ŋɡ ʌ k ʌ r u
තරඟකාමී,t̪ ʌ r ʌ ŋɡ ʌ k aː m iː
තරඟකාරී,t̪ ʌ r ʌ ŋɡ ʌ k aː r iː
